,Authority,variable,Issues,Stock,legend
251,Hampshire,Adult Fiction,1841527.999395,367704.000027,Others
252,Hampshire,Adult Non-Fiction,784571.0000187501,388158.99997699994,Others
253,Hampshire,Children's Fiction,1984410.0006674998,417756.999989,Others
254,Hampshire,Children's Non-Fiction,282557.999976,94070.0000023,Others
255,Hampshire,Adult Talking Book,96405.99999415,42545.00000415,Others
256,Hampshire,Children's Talking Book,23513.000004550002,8289.9999993475,Others
257,Hampshire,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",13213.99999962,13065.00000036,Others
258,Haringey,Adult Fiction,132748.00000318,44367.00000184,Comparitor authority
259,Haringey,Adult Non-Fiction,137555.00001062,74466.99999174001,Comparitor authority
260,Haringey,Children's Fiction,254536.99999588003,89603.99999674,Comparitor authority
261,Haringey,Children's Non-Fiction,36984.99999194001,28769.99998816,Comparitor authority
262,Haringey,Adult Talking Book,7104.9999988340005,2166.9999999814,Comparitor authority
263,Haringey,Children's Talking Book,2485.0000000844,2309.9999999120005,Comparitor authority
264,Haringey,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",25691.000001298,34234.00000064001,Comparitor authority
265,Harrow,Adult Fiction,204549.00000447998,47104.00000832,Others
266,Harrow,Adult Non-Fiction,143336.99999168,81920.00000464,Others
267,Harrow,Children's Fiction,277590.99990560004,43810.999991519995,Others
268,Harrow,Children's Non-Fiction,60518.000001119995,20650.99999888,Others
269,Harrow,Adult Talking Book,6012.000000224,3505.0000005760003,Others
270,Harrow,Children's Talking Book,866.9999999951999,447.99999988799993,Others
271,Harrow,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",7842.000000944,15751.000000576,Others
272,Havering,Adult Fiction,225457.00001264003,70228.00000084001,Others
273,Havering,Adult Non-Fiction,81478.00000428001,39309.99998816001,Others
274,Havering,Children's Fiction,305766.9999868001,62507.00000908001,Others
275,Havering,Children's Non-Fiction,43264.99999140001,17491.000001024,Others
276,Havering,Adult Talking Book,12285.999998844,7060.999999900001,Others
277,Havering,Children's Talking Book,622.0000000852,339.0000000552001,Others
278,Havering,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",84.999999876,310.99999991280004,Others
279,Herefordshire,Adult Fiction,240270.0000104,61300.000001680004,Others
280,Herefordshire,Adult Non-Fiction,87282.00000392,47308.999998960004,Others
281,Herefordshire,Children's Fiction,105435.00000096002,44670.00000592,Others
282,Herefordshire,Children's Non-Fiction,12739.999999176,9535.999999448,Others
283,Herefordshire,Adult Talking Book,7738.999999272,3398.000000424,Others
284,Herefordshire,Children's Talking Book,261.000000032,343.999999972,Others
285,Herefordshire,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",5804.000000032001,6171.999999464001,Others
286,Hertfordshire,Adult Fiction,1252455.0000105,327748.00000994996,Others
287,Hertfordshire,Adult Non-Fiction,668726.0000167501,273409.00003365,Others
288,Hertfordshire,Children's Fiction,1958559.0005085,273145.00002465,Others
289,Hertfordshire,Children's Non-Fiction,234679.99994789998,59577.00000564,Others
290,Hertfordshire,Adult Talking Book,62602.99999453501,22534.000003319998,Others
291,Hertfordshire,Children's Talking Book,18412.99999656,3246.9999999255,Others
292,Hertfordshire,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",27204.999997109997,17029.999999155,Others
293,Hounslow,Adult Fiction,102592.0000119,53975.9999907,Others
294,Hounslow,Adult Non-Fiction,112112.00000595,44729.9999958,Others
295,Hounslow,Children's Fiction,191523.00000960001,58415.0000127,Others
296,Hounslow,Children's Non-Fiction,40829.99999145,17416.999999635,Others
297,Hounslow,Adult Talking Book,4128.999999795,8683.999998645,Others
298,Hounslow,Children's Talking Book,805.9999999035,823.0000000965,Others
299,Hounslow,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",2232.999999894,10481.000001255,Others
300,Isle of Wight,Adult Fiction,227794.99995,58370.00000096001,Others
301,Isle of Wight,Adult Non-Fiction,59760.00000280001,57438.00000346,Others
302,Isle of Wight,Children's Fiction,102041.00000564002,27700.999998740004,Others
303,Isle of Wight,Children's Non-Fiction,18863.00000422,12849.000000360002,Others
304,Isle of Wight,Adult Talking Book,11376.999999452002,5354.999999764,Others
305,Isle of Wight,Children's Talking Book,1176.9999999758002,595.0000000368,Others
306,Isle of Wight,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",4464.999999504,5568.999999476001,Others
307,Islington,Adult Fiction,176360.00001000002,56000.00001175,Others
308,Islington,Adult Non-Fiction,167607.0000005,47999.99999275,Others
309,Islington,Children's Fiction,233551.99999324998,66000.00001125,Others
310,Islington,Children's Non-Fiction,30068.0000055,10999.99999945,Others
311,Islington,Adult Talking Book,11617.0000002,5299.999999250001,Others
312,Islington,Children's Talking Book,2160.999999955,1499.9999999249999,Others
313,Islington,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",58269.000004249996,29000.00000825,Outlier
314,Kensington & Chelsea,Adult Fiction,110500.00000284001,35361.99999969,Others
315,Kensington & Chelsea,Adult Non-Fiction,144960.00000461,58113.00000534,Others
316,Kensington & Chelsea,Children's Fiction,124074.99999572999,41197.999993569996,Others
317,Kensington & Chelsea,Children's Non-Fiction,19337.00000127,12135.999999402999,Others
318,Kensington & Chelsea,Adult Talking Book,5935.0000000479995,2110.00000043,Others
319,Kensington & Chelsea,Children's Talking Book,378.0000000504,338.00000007479997,Others
320,Kensington & Chelsea,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",5695.999999585,6144.000000060999,Others
321,Kent,Adult Fiction,1614284.9992296,402008.99997168,Others
322,Kent,Adult Non-Fiction,636373.0000269599,286060.0000416,Others
323,Kent,Children's Fiction,1491837.99996984,390613.99995264,Others
324,Kent,Children's Non-Fiction,199429.00005888,101185.999997928,Others
325,Kent,Adult Talking Book,81686.99999327998,32233.999995336,Others
326,Kent,Children's Talking Book,12600.000000036,5779.9999996776,Others
327,Kent,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",45736.00000596,37034.000002128,Others
328,Kingston-upon-Thames,Adult Fiction,138533.9999935,48044.99999325001,Others
329,Kingston-upon-Thames,Adult Non-Fiction,74685.0000035,33008.000003500005,Others
330,Kingston-upon-Thames,Children's Fiction,405153.999915,64964.000000500004,Outlier
331,Kingston-upon-Thames,Children's Non-Fiction,57924.000006,21068.999991250002,Others
332,Kingston-upon-Thames,Adult Talking Book,4257.999999225,5304.9999993500005,Others
333,Kingston-upon-Thames,Children's Talking Book,4888.000000175,1464.0000000100001,Others
334,Kingston-upon-Thames,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",6067.999999475,7367.999999125,Others
335,Lancashire,Adult Fiction,1731174.9999276,338523.0000171,Others
336,Lancashire,Adult Non-Fiction,623002.00000098,237930.00006065998,Others
337,Lancashire,Children's Fiction,1038627.9999595799,215746.00001825998,Others
338,Lancashire,Children's Non-Fiction,166285.99996842002,50344.999994694,Others
339,Lancashire,Adult Talking Book,62206.000005851995,24769.999999271997,Others
340,Lancashire,Children's Talking Book,3800.0000006004,2581.9999996901997,Others
341,Lancashire,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",78289.999995222,28461.000003893998,Others
342,Leicester,Adult Fiction,136699.99999655999,118751.00000455999,Others
343,Leicester,Adult Non-Fiction,105534.00001452,149561.00001303997,Others
344,Leicester,Children's Fiction,303773.00001356,202539.00000641998,Others
345,Leicester,Children's Non-Fiction,41792.00001746,46666.0000037,Others
346,Leicester,Adult Talking Book,6542.000000536,10718.000000092,Others
